20150019|3|2|K.Turris|1
20150019|5|1|D.Phaneuf|2
20150019|6|1|P.Parenteau|1
20150019|6|2|D.Phaneuf|3
20150019|7|1|M.Hoffman|3
20150019|7|2|E.Karlsson|3
20150019|8|1|B.Boyes|1
20150019|8|2|N.Spaling|1
20150020|1|1|J.Jokinen|1
20150020|1|2|W.Mitchell|1
20150020|2|1|A.Ekblad|1
20150020|2|2|J.Huberdeau|1
20150020|3|1|B.Pirri|1
20150020|3|2|V.Trocheck|1
20150020|4|1|V.Trocheck|2
20150020|5|1|A.Barkov|1
20150020|6|1|Claude Giroux|1
20150020|6|2|Wayne Simmonds|1
20150020|7|1|B.Campbell|1
20150020|7|2|A.Barkov|2
20150020|8|1|V.Trocheck|3
20150020|8|2|B.Pirri|2
20150021|1|1|K.Hayes|2
20150021|2|1|J.Miller|4
20150021|2|2|V.Stalberg|2
20150021|3|1|J.Stoll|1
20150021|3|2|K.Yandle|2
20150021|4|1|D.Boyle|1
20150021|4|2|K.Yandle|3
20150021|5|1|C.Kreider|2
20150021|5|2|V.Stalberg|3
20150021|6|1|F.Tyutin|1
20150021|6|2|N.Foligno|1
20150021|7|1|D.Savard|1
20150022|1|1|J.Williams|1
20150022|1|2|J.Carlson|1
20150022|2|1|T.Wilson|1
20150022|2|2|J.Chimera|1
20150022|3|1|J.Tlusty|1
20150022|3|2|K.Palmieri|1
20150022|4|1|L.Stempniak|2
20150022|4|2|M.Cammalleri|2
20150022|5|1|M.Niskanen|1
20150022|6|1|A.Ovechkin|1
20150022|6|2|J.Carlson|2
20150022|7|1|J.Williams|2
20150022|7|2|D.Orlov|1
20150023|1|1|D.Larkin|2
20150023|1|2|J.Abdelkader|1
20150023|2|1|N.Hanifin|1
20150023|3|1|R.Murphy|1
20150023|5|1|T.Tatar|1
20150023|6|1|H.Zetterberg|4
20150023|6|2|G.Nyquist|1
20150023|7|1|J.Liles|1
20150023|7|2|K.Versteeg|1
20150024|1|1|C.Wilson|1
20150024|2|1|M.Ribeiro|1
20150025|2|1|V.Tarasenko|1
20150025|2|2|P.Stastny|1
20150025|3|1|R.Suter|2
20150025|3|2|M.Granlund|3
20150025|4|1|T.VanEk|1
20150025|4|2|R.Suter|3
20150025|5|1|K.Shattenkirk|1
20150025|5|2|A.Steen|1
20150026|1|1|P.Kane|2
20150026|1|2|A.Panarin|1
20150026|2|1|P.Kane|3
20150026|3|1|T.van|
20150026|3|2|A.Panarin|2
20150026|4|1|T.Teravainen|1
20150026|4|2|A.Shaw|1
20150027|1|1|J.Demers|1
20150027|1|2|A.Roussel|1
20150027|2|1|A.Tanguay|1
20150027|2|2|G.Landeskog|1
20150027|3|1|T.Seguin|1
20150027|3|2|J.Benn|1
20150027|4|1|J.Demers|2
20150027|4|2|A.Hemsky|2
20150027|5|1|C.Soderberg|2
20150027|5|2|F.Beauchemin|4
20150027|6|1|G.Landeskog|2
20150027|6|2|N.MacKinnon|3
20150027|7|1|J.Skille|1
20150027|7|2|C.McLeod|1
20150027|8|1|A.Tanguay|2
20150027|8|2|F.Beauchemin|5
20150027|9|1|N.MacKinnon|4
20150027|9|2|N.Holden|1
20150028|1|1|J.Gaudreau|2
20150028|1|2|J.Hudler|1
20150028|2|1|S.Baertschi|1
20150028|2|2|B.Hutton|2
20150028|3|1|J.Hansen|1
20150028|3|2|B.Prust|1
20150028|4|1|J.Hudler|2
20150028|4|2|J.Gaudreau|3
20150028|5|1|D.Wideman|1
20150029|1|1|A.Duclair|2
20150029|1|2|M.Hanzal|3
20150029|3|1|S.Downie|1
20150029|3|2|B.Gordon|1
20150030|1|1|L.Couture|1
20150030|1|2|J.Ward|1
20150030|2|1|J.Ward|2
20150031|1|1|M.Pacioretty|2
20150031|1|2|B.Gallagher|2
20150031|4|1|P.Subban|4
20150031|4|2|A.Markov|3
20150032|1|1|T.Krug|2
20150032|1|2|P.Bergeron|1
20150032|2|1|T.Krug|3
20150032|2|2|D.Krejci|2
20150032|3|1|V.Hedman|3
20150032|3|2|V.Namestnikov|1
20150032|4|1|T.Johnson|2
20150032|4|2|A.Stralman|2
20150032|6|1|D.Krejci|3
20150032|6|2|T.Krug|4
20150032|7|1|A.Stralman|3
20150032|7|2|T.Johnson|3
20150032|8|1|E.Condra|1
20150032|8|2|V.Hedman|4
20150032|9|1|A.Killorn|2
20150032|9|2|J.Brown|1
20150033|1|1|K.Okposo|1
20150033|1|2|J.Tavares|1
20150033|2|1|J.Tavares|2
20150033|2|2|J.Boychuk|2
20150033|3|1|A.Lee|1
20150033|3|2|M.Zidlicky|1
20150033|4|1|N.Ehlers|2
20150033|4|2|M.Perreault|3
20150033|5|1|M.Perreault|4
20150033|5|2|B.Wheeler|2
20150033|6|1|F.Nielsen|1
20150033|6|2|K.Okposo|2
20150034|1|1|M.Foligno|2
20150034|1|2|E.Kane|2
20150034|2|1|M.Moulson|1
20150034|2|2|J.McGinn|1
20150034|4|1|M.Moulson|2
20150034|4|2|J.McGinn|2
20150034|5|1|R.Johansen|2
20150034|5|2|N.Foligno|2
20150034|6|1|R.O'reilly|1
20150034|6|2|R.Ristolainen|1
20150035|1|1|Sam Gagner|1
20150035|1|2|Sean Couturier|1
20150036|1|1|A.Cogliano|1
20150036|1|2|M.Santorelli|1
20150036|2|1|B.Prust|2
20150036|2|2|J.Hansen|2
20150037|1|1|S.Weber|1
20150037|1|2|F.Forsberg|1
20150037|2|1|P.Gaustad|1
20150037|2|2|P.Rinne|1
20150037|3|1|A.Greene|1
20150037|3|2|J.Josefson|1
20150038|1|1|D.Brassard|1
20150038|1|2|R.Nash|1
20150038|2|1|T.Myers|2
20150038|2|2|D.Stafford|2
20150038|3|1|J.Trouba|1
20150038|4|1|D.Byfuglien|2
20150038|4|2|B.Wheeler|3
20150038|5|1|A.Lowry|2
20150039|1|1|B.Gallagher|3
20150039|1|2|A.Markov|4
20150039|3|1|J.Petry|1
20150039|3|2|N.Beaulieu|1
20150039|4|1|P.Kessel|1
20150039|4|2|E.Malkin|1
20150039|5|1|D.Desharnais|1
20150039|5|2|D.Weise|1
20150040|1|1|B.Burns|2
20150040|1|2|J.Pavelski|3
20150040|2|1|C.Tierney|1
20150040|2|2|B.Goodrow|1
20150040|3|1|T.Wingels|2
20150040|3|2|M.Nieto|1
20150040|5|1|B.Goodrow|2
20150041|1|1|B.Campbell|2
20150041|1|2|B.Pirri|3
20150041|2|1|B.Malone|1
20150041|2|2|J.Faulk|2
20150041|3|1|D.Kulikov|1
20150041|3|2|D.MacKenzie|1
20150041|4|1|J.Jagr|1
20150041|4|2|E.Gudbranson|1
20150041|5|1|R.Smith|1
20150042|1|1|N.Kronwall|1
20150042|1|2|H.Zetterberg|5
20150042|2|1|D.Larkin|3
20150042|2|2|K.Quincey|2
20150042|3|1|J.Drouin|3
20150042|3|2|A.Stralman|4
20150042|4|1|D.Miller|1
20150042|4|2|B.Richards|1
20150043|1|1|M.Janmark|1
20150043|1|2|J.Klingberg|2
20150043|2|1|J.Jokipakka|1
20150043|2|2|T.Seguin|2
20150043|3|1|B.Pouliot|1
20150043|3|2|N.Yakupov|1
20150043|4|1|A.Sekera|1
20150043|5|1|A.Roussel|2
20150043|5|2|A.Hemsky|3
20150043|6|1|K.Lehtonen|1
20150044|1|1|D.Wideman|2
20150044|1|2|M.Frolik|1
20150044|2|1|P.Stastny|2
20150044|2|2|T.Brouwer|1
20150044|3|1|J.Gaudreau|4
20150044|3|2|D.Wideman|3
20150044|4|1|D.Backes|1
20150044|5|1|J.Lehtera|2
20150044|5|2|A.Pietrangelo|2
20150044|6|1|A.Steen|2
20150044|6|2|V.Tarasenko|2
20150044|7|1|M.Frolik|2
20150045|1|1|B.Prust|3
20150045|1|2|M.Bartkowski|1
20150045|2|1|H.Sedin|1
20150045|2|2|A.Burrows|2
