20150019|OTT|V|4|0|2|
20150019|TOR|H|4|0|7|
20150019|OTT|V|T|4|33|
20150019|TOR|H|T|4|41|
20150020|PHI|V|1|0|11|
20150020|FLO|H|1|4|12|
20150020|PHI|V|2|1|13|
20150020|FLO|H|2|1|6|
20150020|PHI|V|3|0|15|
20150020|FLO|H|3|2|12|
20150020|PHI|V|T|1|39|
20150020|FLO|H|T|7|30|
20150021|CLM|V|1|0|14|
20150021|NYR|H|1|3|15|
20150021|CLM|V|2|0|12|
20150021|NYR|H|2|1|7|
20150021|CLM|V|3|2|13|
20150021|NYR|H|3|1|7|
20150021|CLM|V|T|2|39|
20150021|NYR|H|T|5|29|
20150022|NJ|V|1|2|11|
20150022|WAS|H|1|2|6|
20150022|NJ|V|2|0|5|
20150022|WAS|H|2|0|11|
20150022|NJ|V|3|1|8|
20150022|WAS|H|3|3|10|
20150022|NJ|V|T|3|24|
20150022|WAS|H|T|5|27|
20150023|DET|V|1|0|2|
20150023|CAR|H|1|0|18|
20150023|DET|V|2|1|6|
20150023|CAR|H|2|2|16|
20150023|DET|V|3|3|11|
20150023|CAR|H|3|1|13|
20150023|DET|V|T|4|19|
20150023|CAR|H|T|3|47|
20150024|EDM|V|1|0|8|
20150024|NAS|H|1|0|14|
20150024|EDM|V|2|0|14|
20150024|NAS|H|2|1|9|
20150024|EDM|V|3|0|9|
20150024|NAS|H|3|1|3|
20150024|EDM|V|T|0|31|
20150024|NAS|H|T|2|26|
20150025|STL|V|1|0|7|
20150025|MIN|H|1|1|10|
20150025|STL|V|2|1|12|
20150025|MIN|H|2|2|8|
20150025|STL|V|3|1|13|
20150025|MIN|H|3|0|1|
20150025|STL|V|T|2|32|
20150025|MIN|H|T|3|19|
20150026|NYI|V|1|0|12|
20150026|CHI|H|1|1|11|
20150026|NYI|V|2|0|13|
20150026|CHI|H|2|2|11|
20150026|NYI|V|3|1|4|
20150026|CHI|H|3|1|12|
20150026|NYI|V|T|1|29|
20150026|CHI|H|T|4|34|
20150027|DAL|V|1|2|11|
20150027|COL|H|1|1|7|
20150027|DAL|V|2|1|12|
20150027|COL|H|2|2|9|
20150027|DAL|V|3|0|10|
20150027|COL|H|3|3|12|
20150027|DAL|V|T|3|33|
20150027|COL|H|T|6|28|
20150028|CAL|V|1|1|15|
20150028|VAN|H|1|0|9|
20150028|CAL|V|2|0|10|
20150028|VAN|H|2|2|11|
20150028|CAL|V|3|1|12|
20150028|VAN|H|3|0|8|
20150028|CAL|V|4|1|1|
20150028|VAN|H|4|0|2|
20150028|CAL|V|T|3|38|
20150028|VAN|H|T|2|30|
20150029|PIT|V|1|0|11|
20150029|COL|H|1|0|13|
20150029|MIN|H|1|0|13|
20150029|VAN|H|1|0|13|
20150029|PIT|V|2|1|6|
20150029|COL|H|2|2|13|
20150029|MIN|H|2|2|13|
20150029|VAN|H|2|2|13|
20150029|PIT|V|3|0|11|
20150029|COL|H|3|0|13|
20150029|MIN|H|3|0|13|
20150029|VAN|H|3|0|13|
20150029|PIT|V|T|1|28|
20150029|COL|H|T|2|39|
20150029|MIN|H|T|2|39|
20150029|VAN|H|T|2|39|
20150030|ANA|V|1|0|9|
20150030|SJ|H|1|0|13|
20150030|ANA|V|2|0|15|
20150030|SJ|H|2|1|14|
20150030|ANA|V|3|0|3|
20150030|SJ|H|3|1|17|
20150030|ANA|V|T|0|27|
20150030|SJ|H|T|2|44|
20150031|MON|V|1|2|15|
20150031|OTT|H|1|0|6|
20150031|MON|V|2|0|9|
20150031|OTT|H|2|1|6|
20150031|MON|V|3|1|10|
20150031|OTT|H|3|0|9|
20150031|MON|V|T|3|34|
20150031|OTT|H|T|1|21|
20150032|TB|V|1|2|9|
20150032|BOS|H|1|2|13|
