20150010|DAL|Antti Niemi|2|13|0|
20150010|DAL|Antti Niemi|3|14|0|
20150010|DAL|Antti Niemi|T|37|0|
20150010|DAL|EMPTY NET|1|| |
20150010|DAL|EMPTY NET|2|| |
20150010|DAL|EMPTY NET|3|| |
20150010|DAL|EMPTY NET|T|| |
20150010|PIT|EMPTY NET|1|| |
20150010|PIT|EMPTY NET|2|| |
20150010|PIT|EMPTY NET|3|| |
20150010|PIT|EMPTY NET|T|| |
20150010|PIT|Marc-Andre Fleury|1|4|1|
20150010|PIT|Marc-Andre Fleury|2|11|1|
20150010|PIT|Marc-Andre Fleury|3|9|1|
20150010|PIT|Marc-Andre Fleury|T|24|3|
20150011|COL|EMPTY NET|1|| |
20150011|COL|EMPTY NET|2|| |
20150011|COL|EMPTY NET|3|| |
20150011|COL|EMPTY NET|T|| |
20150011|COL|Semyon Varlamov|1|9|0|
20150011|COL|Semyon Varlamov|2|11|1|
20150011|COL|Semyon Varlamov|3|10|4|
20150011|COL|Semyon Varlamov|T|30|5|
20150011|MIN|Devan Dubnyk|1|11|3|
20150011|MIN|Devan Dubnyk|2|7|1|
20150011|MIN|Devan Dubnyk|3|5|0|
20150011|MIN|Devan Dubnyk|T|23|4|
20150012|NJ|Cory Schneider|1|12|0|
20150012|NJ|Cory Schneider|2|11|3|
20150012|NJ|Cory Schneider|3|7|0|
20150012|NJ|Cory Schneider|T|30|3|
20150012|NJ|EMPTY NET|1|| |
20150012|NJ|EMPTY NET|2|| |
20150012|NJ|EMPTY NET|3|| |
20150012|NJ|EMPTY NET|T|| |
20150012|WIN|Michael Hutchinson|1|4|0|
20150012|WIN|Michael Hutchinson|2|7|1|
20150012|WIN|Michael Hutchinson|3|10|0|
20150012|WIN|Michael Hutchinson|T|21|1|
20150013|CLM|EMPTY NET|1|| |
20150013|CLM|EMPTY NET|2|| |
20150013|CLM|EMPTY NET|3|| |
20150013|CLM|EMPTY NET|T|| |
20150013|CLM|Sergei Bobrovsky|1|6|1|
20150013|CLM|Sergei Bobrovsky|2|10|0|
20150013|CLM|Sergei Bobrovsky|3|9|3|
20150013|CLM|Sergei Bobrovsky|T|25|4|
20150013|NYR|Henrik Lundqvist|1|9|0|
20150013|NYR|Henrik Lundqvist|2|14|1|
20150013|NYR|Henrik Lundqvist|3|10|1|
20150013|NYR|Henrik Lundqvist|T|33|2|
20150014|DET|Jimmy Howard|1|9|0|
20150014|DET|Jimmy Howard|2|7|0|
20150014|DET|Jimmy Howard|3|6|0|
20150014|DET|Jimmy Howard|T|22|0|
20150014|TOR|James Reimer|1|| |
20150014|TOR|James Reimer|2|7|1|
20150014|TOR|James Reimer|3|6|0|
20150014|TOR|James Reimer|T|13|1|
20150014|TOR|Jonathan Bernier|1|8|2|
20150014|TOR|Jonathan Bernier|2|1|1|
20150014|TOR|Jonathan Bernier|3|| |
20150014|TOR|Jonathan Bernier|T|9|3|
20150015|CHI|Corey Crawford|1|12|0|
20150015|CHI|Corey Crawford|2|11|1|
20150015|CHI|Corey Crawford|3|12|1|
20150015|CHI|Corey Crawford|4|1|0|
20150015|CHI|Corey Crawford|T|36|2|
20150015|CHI|EMPTY NET|1|| |
20150015|CHI|EMPTY NET|2|| |
20150015|CHI|EMPTY NET|3|| |
20150015|CHI|EMPTY NET|4|| |
20150015|CHI|EMPTY NET|T|| |
20150015|NYI|Thomas Greiss|1|12|1|
20150015|NYI|Thomas Greiss|2|10|1|
20150015|NYI|Thomas Greiss|3|10|0|
20150015|NYI|Thomas Greiss|4|3|1|
20150015|NYI|Thomas Greiss|T|35|3|
20150016|CHI|Mike Smith|1|13|0|
20150016|CHI|Mike Smith|2|14|1|
20150016|CHI|Mike Smith|3|14|0|
20150016|CHI|Mike Smith|T|41|1|
20150016|LA|Jonathan Quick|1|8|2|
20150016|LA|Jonathan Quick|2|6|2|
20150016|LA|Jonathan Quick|3|8|0|
20150016|LA|Jonathan Quick|T|22|4|
20150016|NYR|Mike Smith|1|13|0|
20150016|NYR|Mike Smith|2|14|1|
20150016|NYR|Mike Smith|3|14|0|
20150016|NYR|Mike Smith|T|41|1|
20150016|TOR|Mike Smith|1|13|0|
20150016|TOR|Mike Smith|2|14|1|
20150016|TOR|Mike Smith|3|14|0|
20150016|TOR|Mike Smith|T|41|1|
20150016|WIN|Mike Smith|1|13|0|
20150016|WIN|Mike Smith|2|14|1|
20150016|WIN|Mike Smith|3|14|0|
20150016|WIN|Mike Smith|T|41|1|
20150017|BUF|Chad Johnson|1|8|0|
20150017|BUF|Chad Johnson|2|14|2|
20150017|BUF|Chad Johnson|3|9|2|
20150017|BUF|Chad Johnson|T|31|4|
20150017|BUF|EMPTY NET|1|| |
20150017|BUF|EMPTY NET|2|| |
20150017|BUF|EMPTY NET|3|| |
20150017|BUF|EMPTY NET|T|| |
20150017|TB|Ben Bishop|1|11|0|
20150017|TB|Ben Bishop|2|5|1|
20150017|TB|Ben Bishop|3|9|0|
20150017|TB|Ben Bishop|T|25|1|
20150018|BOS|EMPTY NET|1|| |
20150018|BOS|EMPTY NET|2|| |
20150018|BOS|EMPTY NET|3|1|1|
20150018|BOS|EMPTY NET|T|1|1|
20150018|BOS|Tuukka Rask|1|10|1|
20150018|BOS|Tuukka Rask|2|18|2|
20150018|BOS|Tuukka Rask|3|9|0|
20150018|BOS|Tuukka Rask|T|37|3|
20150018|MON|Carey Price|1|8|0|
20150018|MON|Carey Price|2|7|1|
